Date,Open,High,Low,Close,Volume
31-Oct-16,113.65,114.23,113.20,113.54,26419398
28-Oct-16,113.87,115.21,113.45,113.72,37861662
27-Oct-16,115.39,115.86,114.10,114.48,34562045
26-Oct-16,114.31,115.70,113.31,115.59,66134219
25-Oct-16,117.95,118.36,117.31,118.25,48128970
24-Oct-16,117.10,117.74,117.00,117.65,23538673
21-Oct-16,116.81,116.91,116.28,116.60,23192665
20-Oct-16,116.86,117.38,116.33,117.06,24125801
19-Oct-16,117.25,117.76,113.80,117.12,20034594
18-Oct-16,118.18,118.21,117.45,117.47,24553478
17-Oct-16,117.33,117.84,116.78,117.55,23624896
14-Oct-16,117.88,118.17,117.13,117.63,35652191
13-Oct-16,116.79,117.44,115.72,116.98,35192406
12-Oct-16,117.35,117.98,116.75,117.34,37586787
11-Oct-16,117.70,118.69,116.20,116.30,64041043
10-Oct-16,115.02,116.75,114.72,116.05,36235956
7-Oct-16,114.31,114.56,113.51,114.06,24358443
6-Oct-16,113.70,114.34,113.13,113.89,28779313
5-Oct-16,113.40,113.66,112.69,113.05,21453089
4-Oct-16,113.06,114.31,112.63,113.00,29736835
3-Oct-16,112.71,113.05,112.28,112.52,21701760
